iter	Passed	Remaining
0	3	789
1	7	721
2	10	693
3	13	682
4	18	703
5	21	694
6	24	683
7	27	651
8	30	646
9	34	650
10	37	644
11	40	638
12	43	632
13	47	629
14	50	623
15	53	618
16	56	613
17	60	608
18	63	606
19	66	602
20	70	597
21	73	593
22	76	591
23	80	586
24	83	582
25	86	578
26	89	573
27	93	574
28	96	570
29	99	566
30	103	562
31	106	559
32	109	555
33	112	551
34	116	547
35	119	544
36	122	540
37	125	536
38	128	532
39	132	528
40	135	524
41	138	520
42	141	518
43	145	514
44	148	511
45	151	507
46	154	503
47	157	499
48	160	495
49	164	492
50	167	489
51	170	485
52	173	482
53	177	479
54	180	475
55	183	472
56	186	468
57	190	465
58	193	462
59	196	459
60	199	455
61	203	452
62	206	449
63	209	446
64	213	442
65	215	438
66	218	434
67	222	431
68	225	427
69	228	424
70	231	420
71	234	417
72	237	413
73	240	410
74	243	406
75	246	402
76	250	400
77	253	396
78	256	392
79	259	388
80	262	385
81	265	382
82	268	378
83	271	375
84	274	371
85	277	368
86	281	365
87	284	361
88	287	358
89	290	354
90	293	351
91	296	348
92	299	344
93	302	341
94	305	337
95	308	334
96	311	330
97	314	327
98	317	323
99	320	320
100	323	317
101	326	313
102	329	310
103	332	307
104	335	303
105	338	300
106	341	296
107	344	293
108	347	290
109	351	287
110	354	284
111	357	280
112	360	277
113	363	274
114	366	270
115	369	267
116	372	264
117	375	260
118	378	257
119	381	254
120	384	251
121	387	247
122	390	244
123	393	241
124	396	238
125	399	234
126	403	231
127	406	228
128	409	225
129	412	221
130	414	218
131	417	215
132	420	212
133	423	208
134	426	205
135	429	202
136	432	198
137	435	195
138	438	192
139	441	189
140	444	185
141	447	182
142	450	179
143	452	176
144	456	173
145	458	169
146	461	166
147	464	163
148	467	160
149	470	156
150	473	153
151	476	150
152	479	147
153	482	144
154	485	141
155	488	137
156	491	134
157	494	131
158	497	128
159	500	125
160	503	122
161	507	119
162	510	115
163	514	112
164	517	109
165	520	106
166	523	103
167	525	100
168	528	97
169	532	93
170	534	90
171	537	87
172	540	84
173	543	81
174	546	78
175	549	74
176	552	71
177	555	68
178	558	65
179	560	62
180	563	59
181	566	56
182	569	52
183	572	49
184	575	46
185	578	43
186	581	40
187	584	37
188	586	34
189	589	31
190	592	27
191	595	24
192	598	21
193	601	18
194	604	15
195	607	12
196	609	9
197	612	6
198	615	3
199	618	0
